id,universidad,carrera,area_academica,modalidad,semestres,fecha_oferta,ciudad
2452,Tecnologica Del Valle,lic. en derecho,administracion,semi presencial,10,2024-07-03,Xoxocotlan
2453,Conalep,tec en mecanica,educacion,semi presencial,8,2024-01-09,Ixtlan
2454,Uabjo,administracion de empresas,educacion,semi presencial,8,2024-10-19,Xoxocotlan
2455,Conalep,tec en mecanica,artes,semi presencial,6,2024-03-22,Ixtlan
2456,Instituto Tecnologico,lic en enfermeria,economia,semi presencial,6,2024-10-06,juarez
2457,Tebacsso,lic en enfermeria,derecho,virtual,6,2024-11-18,Ixtlan
2458,Instituto Tecnologico,lic. en psicologia,derecho,presencial,8,2024-05-27,Pochutla
2459,Escuela Normal,lic. en turismo,economia,virtual,8,2024-01-08,Lachixio
2460,Ujat,lic. en derecho,economia,semi presencial,8,2024-07-01,Ixtlan
2461,Escuela Normal,lic. en filosofia,educacion,presencial,8,2024-05-15,Tlacolula
2462,Instituto Tecnologico,lic. en turismo,administracion,virtual,8,2024-12-23,Pochutla
2463,Tecnologica Del Valle,ingenieria en sistemas computacionales,ingenieria,presencial,6,2024-02-29,oaxaca capital
2464,Ujat,diseño grafico,derecho,virtual,6,2024-08-04,Xoxocotlan
2465,Centro De Estudios,lic. en derecho,economia,virtual,8,2024-05-25,oaxaca capital
2466,Colegio De Bachilleres,ingenieria en sistemas computacionales,artes,virtual,10,2024-05-04,juarez
2467,Ies Oaxaca,ingenieria civil,administracion,virtual,10,2024-04-09,Ixtlan
2468,Colegio De Bachilleres,ingenieria civil,derecho,virtual,10,2024-07-13,Pochutla
2469,Uabjo,contabilidad,ciencias sociales,virtual,6,2024-02-15,Pochutla
2470,Tebacsso,lic. en psicologia,humanidades,virtual,8,2024-10-25,oaxaca capital
2471,Instituto Tecnologico,lic. en psicologia,ciencias sociales,semi presencial,8,2024-10-04,Etla
2472,Ies Oaxaca,ingenieria electronica,salud,presencial,8,2024-01-07,Salina Cruz
2473,Uabjo,lic. en educacion,ingenieria,virtual,6,2024-08-10,juarez
2474,Escuela Normal,contabilidad,economia,virtual,10,2024-10-09,Etla
2475,Univers. Autonoma,lic. en educacion,economia,semi presencial,10,2024-03-17,Pochutla
2476,Ies Oaxaca,lic. en psicologia,derecho,virtual,10,2024-02-24,Xoxocotlan
2477,Centro De Estudios,contabilidad,derecho,presencial,8,2024-04-13,Lachixio
2478,Instituto Tecnologico,diseño grafico,economia,presencial,10,2024-05-27,Lachixio
2479,Instituto Superior,lic. en economia,administracion,presencial,10,2024-11-04,Lachixio
2480,Tebacsso,tec en mecanica,humanidades,presencial,8,2024-12-30,Salina Cruz
2481,Ies Oaxaca,lic. en economia,artes,virtual,8,2024-03-07,Tlacolula
2482,Ujat,lic. en filosofia,derecho,presencial,8,2024-08-01,oaxaca capital
2483,Uabjo,tec. en informatica,administracion,presencial,10,2024-04-12,Etla
2484,Instituto Superior,lic en enfermeria,humanidades,virtual,6,2024-11-25,Pochutla
2485,Instituto Tecnologico,lic. en derecho,tecnologia,virtual,8,2024-06-23,Huajuapan
2486,Colegio De Bachilleres,lic. en filosofia,administracion,virtual,6,2024-11-11,Lachixio
2487,Cecyte,lic. en filosofia,educacion,virtual,6,2024-02-29,oaxaca capital
2488,Univers. Autonoma,lic. en biologia,administracion,virtual,6,2024-03-02,Xoxocotlan
2489,Conalep,ingenieria civil,artes,virtual,8,2024-06-24,Huajuapan
2490,Univers. Autonoma,lic. en economia,ciencias sociales,virtual,8,2024-01-05,Lachixio
2491,Tebacsso,lic. en turismo,ciencias sociales,virtual,6,2024-10-06,juarez
2492,Uabjo,lic. en economia,salud,presencial,10,2024-01-28,juarez
2493,Univers. Autonoma,tec en mecanica,tecnologia,semi presencial,8,2024-11-11,Huajuapan
2494,Cecyte,lic. en filosofia,salud,semi presencial,8,2024-03-18,juarez
2495,Cecyte,ingenieria electronica,administracion,presencial,6,2024-01-03,Pochutla
2496,Centro De Estudios,lic. en comunicacion,ingenieria,presencial,6,2024-01-08,Etla
2497,Colegio De Bachilleres,ingenieria en sistemas computacionales,administracion,presencial,10,2024-11-05,Etla
2498,Ies Oaxaca,lic. en economia,humanidades,presencial,6,2024-01-15,Lachixio
2499,Centro De Estudios,ingenieria civil,ingenieria,presencial,8,2024-10-27,Xoxocotlan
2500,Ujat,diseño grafico,humanidades,presencial,8,2024-04-22,Lachixio
2501,Ujat,lic. en derecho,salud,virtual,8,2024-02-08,Huajuapan
2502,Conalep,tec en mecanica,educacion,semi presencial,8,2024-02-15,Lachixio
2503,Cecyte,ingenieria electronica,derecho,presencial,6,2024-04-07,Tlacolula
2504,Cecyte,diseño grafico,tecnologia,presencial,6,2024-06-13,juarez
2505,Tebacsso,tec en mecanica,tecnologia,presencial,10,2024-07-07,Etla
2506,Instituto Superior,administracion de empresas,humanidades,presencial,8,2024-11-21,oaxaca capital
2507,Tebacsso,lic. en economia,ingenieria,virtual,10,2024-10-06,Pochutla
2508,Conalep,tec en mecanica,administracion,presencial,8,2024-01-01,juarez
2509,Cecyte,lic. en filosofia,ingenieria,virtual,8,2024-02-20,Tlacolula
2510,Centro De Estudios,lic. en derecho,derecho,presencial,8,2024-07-02,Salina Cruz
2511,Conalep,lic. en psicologia,ciencias sociales,virtual,8,2024-01-24,Salina Cruz
2512,Ies Oaxaca,ingenieria en sistemas computacionales,tecnologia,semi presencial,10,2024-08-06,Lachixio
2513,Cecyte,ingenieria civil,tecnologia,presencial,10,2024-03-14,Lachixio
2514,Ies Oaxaca,lic. en derecho,ciencias sociales,virtual,6,2024-09-29,Tlacolula
2515,Ies Oaxaca,contabilidad,educacion,presencial,6,2024-10-01,Pochutla
2516,Ies Oaxaca,lic. en turismo,humanidades,virtual,8,2024-03-18,oaxaca capital
2517,Instituto Tecnologico,lic. en biologia,ingenieria,presencial,10,2024-01-04,Etla
2518,Univers. Autonoma,ingenieria civil,derecho,virtual,8,2024-01-20,oaxaca capital
2519,Ujat,lic. en psicologia,administracion,presencial,8,2024-12-28,juarez
2520,Uabjo,lic. en psicologia,economia,presencial,8,2024-08-24,Lachixio
2521,Conalep,lic. en economia,artes,presencial,10,2024-11-25,Lachixio
2522,Ujat,lic. en educacion,economia,virtual,8,2024-08-09,Etla
2523,Uabjo,ingenieria civil,administracion,presencial,6,2024-11-24,Salina Cruz
2524,Uabjo,lic en enfermeria,derecho,presencial,10,2024-02-19,juarez
2525,Tecnologica Del Valle,lic. en educacion,artes,presencial,8,2024-05-24,Pochutla
2526,Colegio De Bachilleres,lic. en derecho,ciencias sociales,presencial,10,2024-04-25,Tlacolula
2527,Tecnologica Del Valle,tec en mecanica,ingenieria,semi presencial,8,2024-12-11,Lachixio
2528,Centro De Estudios,lic en enfermeria,ciencias sociales,virtual,10,2024-11-16,Etla
2529,Univers. Autonoma,contabilidad,derecho,semi presencial,10,2024-03-29,Tlacolula
2530,Instituto Superior,ingenieria en sistemas computacionales,economia,virtual,10,2024-01-03,Ixtlan
2531,Instituto Tecnologico,lic. en turismo,educacion,presencial,6,2024-09-07,oaxaca capital
2532,Conalep,tec. en electronica,humanidades,virtual,8,2024-03-25,Tlacolula
2533,Tecnologica Del Valle,ingenieria electronica,ciencias sociales,virtual,8,2024-11-16,juarez
2534,Cecyte,tec en mecanica,derecho,virtual,10,2024-05-17,Lachixio
2535,Uabjo,lic. en educacion,salud,presencial,6,2024-02-10,Lachixio
2536,Colegio De Bachilleres,ingenieria electronica,derecho,virtual,8,2024-12-07,juarez
2537,Uabjo,diseño grafico,ciencias sociales,virtual,8,2024-03-12,Lachixio
2538,Tecnologica Del Valle,lic. en educacion,humanidades,semi presencial,6,2024-04-23,Salina Cruz
2539,Colegio De Bachilleres,lic. en biologia,administracion,virtual,8,2024-10-03,Lachixio
2540,Tecnologica Del Valle,tec en mecanica,derecho,semi presencial,8,2024-08-20,Salina Cruz
2541,Tecnologica Del Valle,lic. en biologia,educacion,virtual,6,2024-11-20,juarez
2542,Tecnologica Del Valle,tec. en electronica,educacion,presencial,6,2024-03-20,Tlacolula
2543,Centro De Estudios,diseño grafico,ciencias sociales,semi presencial,8,2024-01-30,Salina Cruz
2544,Tecnologica Del Valle,tec en mecanica,humanidades,presencial,6,2024-08-15,Tlacolula
2545,Cecyte,ingenieria civil,ingenieria,presencial,8,2024-10-20,Salina Cruz
2546,Instituto Superior,lic. en derecho,salud,presencial,6,2024-07-15,Tlacolula
2547,Centro De Estudios,lic. en filosofia,humanidades,virtual,6,2024-02-22,Tlacolula
2548,Escuela Normal,lic. en educacion,economia,presencial,8,2024-08-04,oaxaca capital
2549,Cecyte,lic. en turismo,salud,virtual,6,2024-04-08,Huajuapan
2550,Uabjo,lic. en educacion,ciencias sociales,presencial,8,2024-03-19,Pochutla
2551,Colegio De Bachilleres,lic. en comunicacion,ingenieria,presencial,10,2024-12-19,Lachixio
2552,Instituto Tecnologico,tec en mecanica,economia,presencial,6,2024-10-02,Huajuapan
2553,Colegio De Bachilleres,tec. en informatica,salud,virtual,6,2024-10-29,Ixtlan
2554,Colegio De Bachilleres,lic en enfermeria,administracion,virtual,10,2024-04-11,Huajuapan
2555,Colegio De Bachilleres,administracion de empresas,ingenieria,presencial,8,2024-02-22,Ixtlan
2556,Ies Oaxaca,lic. en derecho,salud,presencial,6,2024-07-18,Xoxocotlan
2557,Instituto Tecnologico,ingenieria en sistemas computacionales,tecnologia,semi presencial,6,2024-04-29,oaxaca capital
2558,Ies Oaxaca,lic. en turismo,ciencias sociales,presencial,6,2024-09-18,Huajuapan
2559,Conalep,lic. en comunicacion,administracion,virtual,8,2024-09-27,oaxaca capital
2560,Tebacsso,contabilidad,administracion,semi presencial,10,2024-03-03,Pochutla
2561,Centro De Estudios,lic. en filosofia,humanidades,semi presencial,10,2024-12-21,juarez
2562,Instituto Superior,tec. en electronica,tecnologia,semi presencial,6,2024-11-15,Lachixio
2563,Cecyte,diseño grafico,humanidades,virtual,10,2024-05-03,juarez
2564,Colegio De Bachilleres,tec. en informatica,derecho,presencial,10,2024-01-04,Ixtlan
2565,Escuela Normal,lic en enfermeria,administracion,semi presencial,6,2024-01-28,Salina Cruz
2566,Instituto Tecnologico,tec en mecanica,humanidades,presencial,10,2024-03-18,Tlacolula
2567,Colegio De Bachilleres,ingenieria en sistemas computacionales,educacion,virtual,10,2024-07-26,Huajuapan
2568,Univers. Autonoma,tec. en informatica,administracion,semi presencial,6,2024-05-14,oaxaca capital
2569,Ujat,contabilidad,administracion,presencial,10,2024-05-03,Salina Cruz
2570,Tebacsso,lic. en economia,ciencias sociales,virtual,8,2024-04-30,Pochutla
2571,Instituto Tecnologico,administracion de empresas,tecnologia,presencial,10,2024-11-13,oaxaca capital
2572,Colegio De Bachilleres,tec en mecanica,economia,virtual,8,2024-08-06,Etla
2573,Tebacsso,lic. en comunicacion,derecho,presencial,6,2024-03-29,Xoxocotlan
2574,Centro De Estudios,lic. en educacion,educacion,presencial,6,2024-03-05,Huajuapan
2575,Conalep,lic. en educacion,ingenieria,presencial,10,2024-04-27,Huajuapan
2576,Tebacsso,ingenieria civil,tecnologia,presencial,6,2024-08-02,juarez
2577,Colegio De Bachilleres,lic en enfermeria,artes,presencial,6,2024-05-23,juarez
2578,Tecnologica Del Valle,tec. en electronica,artes,virtual,10,2024-01-14,Pochutla
2579,Colegio De Bachilleres,lic. en derecho,tecnologia,semi presencial,6,2024-09-30,Ixtlan
2580,Ujat,tec en mecanica,tecnologia,virtual,8,2024-11-08,Ixtlan
2581,Uabjo,tec. en electronica,tecnologia,virtual,10,2024-09-20,Huajuapan
2582,Uabjo,lic. en derecho,derecho,virtual,10,2024-07-17,juarez
2583,Tebacsso,lic. en biologia,educacion,semi presencial,10,2024-09-30,Xoxocotlan
2584,Centro De Estudios,ingenieria en sistemas computacionales,educacion,presencial,10,2024-05-16,juarez
2585,Instituto Tecnologico,lic. en filosofia,educacion,presencial,8,2024-10-08,Huajuapan
2586,Ies Oaxaca,lic. en derecho,derecho,presencial,8,2024-10-29,Xoxocotlan
2587,Uabjo,tec. en electronica,ciencias sociales,virtual,10,2024-08-27,Ixtlan
2588,Colegio De Bachilleres,lic. en comunicacion,administracion,presencial,10,2024-12-19,Xoxocotlan
2589,Tebacsso,ingenieria en sistemas computacionales,salud,virtual,10,2024-07-08,Tlacolula
2590,Uabjo,tec. en informatica,ciencias sociales,presencial,6,2024-08-12,Huajuapan
2591,Instituto Superior,lic. en biologia,administracion,virtual,6,2024-02-01,juarez
2592,Ujat,lic. en biologia,educacion,semi presencial,8,2024-09-19,juarez
2593,Centro De Estudios,lic. en derecho,economia,semi presencial,6,2024-12-20,Xoxocotlan
2594,Ies Oaxaca,tec. en electronica,humanidades,semi presencial,10,2024-02-09,Tlacolula
2595,Tebacsso,lic. en filosofia,humanidades,presencial,8,2024-01-27,Salina Cruz
2596,Uabjo,contabilidad,artes,semi presencial,6,2024-10-30,Xoxocotlan
2597,Univers. Autonoma,ingenieria en sistemas computacionales,humanidades,presencial,10,2024-12-28,Lachixio
2598,Colegio De Bachilleres,tec. en informatica,tecnologia,semi presencial,8,2024-08-19,Xoxocotlan
2599,Instituto Superior,lic. en biologia,tecnologia,virtual,10,2024-07-01,Etla
2600,Conalep,lic. en economia,tecnologia,semi presencial,6,2024-10-02,Pochutla
2601,Uabjo,lic en enfermeria,artes,semi presencial,10,2024-11-10,Xoxocotlan
2602,Cecyte,lic. en derecho,humanidades,presencial,8,2024-07-20,Lachixio
2603,Escuela Normal,lic. en turismo,educacion,virtual,6,2024-06-10,Ixtlan
2604,Ies Oaxaca,lic en enfermeria,humanidades,virtual,8,2024-11-04,juarez
2605,Tebacsso,lic. en educacion,ciencias sociales,semi presencial,6,2024-08-17,Huajuapan
2606,Centro De Estudios,lic en enfermeria,administracion,presencial,8,2024-08-04,juarez
2607,Uabjo,tec en mecanica,derecho,semi presencial,6,2024-05-14,Huajuapan
2608,Ies Oaxaca,diseño grafico,ciencias sociales,semi presencial,6,2024-12-01,juarez
2609,Centro De Estudios,administracion de empresas,artes,semi presencial,10,2024-08-15,Etla
2610,Conalep,lic. en economia,ingenieria,presencial,6,2024-10-01,Ixtlan
2611,Tecnologica Del Valle,contabilidad,derecho,semi presencial,6,2024-09-06,juarez
2612,Cecyte,contabilidad,ingenieria,virtual,10,2024-10-09,oaxaca capital
2613,Tecnologica Del Valle,administracion de empresas,humanidades,virtual,8,2024-06-06,Lachixio
2614,Ies Oaxaca,lic. en comunicacion,humanidades,presencial,6,2024-03-02,Etla
2615,Ies Oaxaca,tec. en informatica,ciencias sociales,presencial,6,2024-06-13,Huajuapan
2616,Univers. Autonoma,lic. en psicologia,economia,presencial,6,2024-02-26,juarez
2617,Instituto Superior,lic. en comunicacion,ciencias sociales,semi presencial,6,2024-12-07,Tlacolula
2618,Centro De Estudios,administracion de empresas,economia,presencial,10,2024-03-29,Tlacolula
2619,Tebacsso,contabilidad,derecho,presencial,8,2024-03-06,Huajuapan
2620,Tebacsso,lic. en comunicacion,economia,virtual,8,2024-11-10,Tlacolula
2621,Centro De Estudios,ingenieria civil,educacion,virtual,8,2024-07-16,Tlacolula
2622,Univers. Autonoma,tec. en informatica,ingenieria,semi presencial,8,2024-08-04,Salina Cruz
2623,Instituto Tecnologico,tec en mecanica,ciencias sociales,semi presencial,6,2024-02-24,Salina Cruz
2624,Univers. Autonoma,lic. en derecho,administracion,virtual,6,2024-05-31,Lachixio
2625,Instituto Superior,lic. en turismo,ingenieria,virtual,6,2024-01-28,Huajuapan
2626,Uabjo,tec en mecanica,administracion,presencial,8,2024-10-04,Huajuapan
2627,Ujat,tec. en informatica,tecnologia,semi presencial,6,2024-09-28,juarez
2628,Cecyte,contabilidad,salud,virtual,8,2024-09-24,juarez
2629,Ies Oaxaca,lic. en turismo,economia,presencial,10,2024-10-14,oaxaca capital
2630,Ujat,lic. en biologia,humanidades,semi presencial,10,2024-05-23,juarez
2631,Cecyte,tec. en electronica,humanidades,presencial,8,2024-12-08,juarez
2632,Escuela Normal,contabilidad,tecnologia,semi presencial,6,2024-06-30,Huajuapan
2633,Instituto Tecnologico,lic. en filosofia,economia,semi presencial,6,2024-11-18,Huajuapan
2634,Univers. Autonoma,tec. en electronica,salud,presencial,6,2024-03-01,Xoxocotlan
2635,Centro De Estudios,tec. en electronica,administracion,presencial,8,2024-11-01,juarez
2636,Tecnologica Del Valle,lic en enfermeria,economia,semi presencial,6,2024-12-28,Tlacolula
2637,Instituto Superior,tec. en informatica,derecho,virtual,10,2024-03-03,Tlacolula
2638,Tebacsso,tec en mecanica,administracion,semi presencial,6,2024-02-14,juarez
2639,Tecnologica Del Valle,tec en mecanica,economia,virtual,8,2024-02-12,Etla
2640,Centro De Estudios,contabilidad,derecho,virtual,8,2024-11-07,juarez
2641,Tecnologica Del Valle,tec. en informatica,ciencias sociales,semi presencial,10,2024-06-10,Xoxocotlan
2642,Conalep,lic. en educacion,ciencias sociales,virtual,10,2024-04-26,Xoxocotlan
2643,Ujat,lic. en psicologia,derecho,presencial,6,2024-12-25,Lachixio
2644,Ies Oaxaca,ingenieria en sistemas computacionales,educacion,presencial,6,2024-06-25,Salina Cruz
2645,Tecnologica Del Valle,tec en mecanica,economia,virtual,6,2024-07-03,Huajuapan
2646,Centro De Estudios,lic. en educacion,ingenieria,semi presencial,8,2024-06-19,Pochutla
2647,Tecnologica Del Valle,tec. en electronica,economia,virtual,10,2024-12-19,Ixtlan
2648,Colegio De Bachilleres,lic. en biologia,administracion,virtual,10,2024-01-09,Huajuapan
2649,Instituto Superior,lic. en biologia,ingenieria,semi presencial,8,2024-03-24,Huajuapan
2650,Centro De Estudios,ingenieria en sistemas computacionales,educacion,semi presencial,6,2024-05-17,Lachixio
2651,Conalep,tec. en electronica,salud,semi presencial,10,2024-11-08,Lachixio
2652,Univers. Autonoma,tec. en informatica,derecho,presencial,10,2024-05-23,Pochutla
2653,Instituto Superior,diseño grafico,ingenieria,presencial,10,2024-01-14,Lachixio
2654,Escuela Normal,lic. en educacion,humanidades,semi presencial,6,2024-02-16,Lachixio
2655,Colegio De Bachilleres,lic. en filosofia,ingenieria,virtual,10,2024-06-20,Tlacolula
2656,Tebacsso,lic. en comunicacion,salud,semi presencial,10,2024-10-09,Ixtlan
2657,Conalep,lic. en psicologia,educacion,virtual,8,2024-09-08,oaxaca capital
2658,Escuela Normal,lic en enfermeria,artes,presencial,8,2024-08-12,Huajuapan
2659,Tebacsso,lic. en economia,tecnologia,virtual,8,2024-04-30,Huajuapan
2660,Instituto Tecnologico,lic. en economia,ciencias sociales,presencial,10,2024-01-21,Tlacolula
2661,Tebacsso,diseño grafico,administracion,semi presencial,10,2024-06-19,Huajuapan
2662,Instituto Tecnologico,lic. en derecho,artes,semi presencial,6,2024-12-01,Pochutla
2663,Ies Oaxaca,lic. en filosofia,derecho,semi presencial,6,2024-10-16,Xoxocotlan
2664,Ies Oaxaca,contabilidad,ingenieria,semi presencial,6,2024-10-21,Lachixio
2665,Ies Oaxaca,tec. en informatica,artes,presencial,8,2024-01-05,Tlacolula
2666,Conalep,ingenieria en sistemas computacionales,derecho,virtual,10,2024-03-28,Etla
2667,Escuela Normal,ingenieria civil,administracion,presencial,8,2024-05-22,Xoxocotlan
2668,Conalep,lic. en filosofia,economia,presencial,10,2024-03-31,Ixtlan
2669,Colegio De Bachilleres,lic. en biologia,ciencias sociales,presencial,6,2024-05-26,Tlacolula
2670,Instituto Tecnologico,ingenieria civil,ingenieria,semi presencial,6,2024-12-26,Pochutla
2671,Conalep,tec. en electronica,administracion,semi presencial,6,2024-06-15,juarez
2672,Univers. Autonoma,lic. en educacion,administracion,presencial,6,2024-08-03,Salina Cruz
2673,Tebacsso,lic. en comunicacion,economia,presencial,8,2024-02-28,Lachixio
2674,Colegio De Bachilleres,lic. en psicologia,ingenieria,presencial,6,2024-02-01,Pochutla
2675,Colegio De Bachilleres,lic en enfermeria,tecnologia,presencial,6,2024-07-07,Xoxocotlan
2676,Ies Oaxaca,lic en enfermeria,administracion,presencial,10,2024-05-23,Xoxocotlan
2677,Escuela Normal,lic. en psicologia,derecho,presencial,10,2024-08-26,Huajuapan
2678,Tebacsso,contabilidad,ciencias sociales,semi presencial,6,2024-03-29,Huajuapan
2679,Ujat,lic en enfermeria,tecnologia,semi presencial,8,2024-04-21,juarez
2680,Ies Oaxaca,lic. en turismo,artes,virtual,10,2024-07-08,Etla
2681,Univers. Autonoma,contabilidad,ingenieria,virtual,8,2024-09-13,oaxaca capital
2682,Instituto Tecnologico,lic en enfermeria,ingenieria,virtual,8,2024-12-31,Tlacolula
2683,Colegio De Bachilleres,contabilidad,educacion,virtual,6,2024-08-14,Tlacolula
2684,Instituto Tecnologico,ingenieria en sistemas computacionales,tecnologia,presencial,8,2024-01-27,Tlacolula
2685,Ujat,lic. en psicologia,educacion,virtual,6,2024-12-18,Xoxocotlan
2686,Instituto Tecnologico,lic. en derecho,ciencias sociales,presencial,6,2024-02-28,Xoxocotlan
2687,Instituto Superior,lic. en derecho,economia,virtual,8,2024-12-24,Lachixio
2688,Instituto Tecnologico,ingenieria electronica,educacion,virtual,6,2024-12-24,Huajuapan
2689,Conalep,lic. en educacion,humanidades,semi presencial,10,2024-12-10,Salina Cruz
2690,Instituto Superior,tec. en electronica,administracion,presencial,10,2024-09-27,Ixtlan
2691,Cecyte,lic. en derecho,tecnologia,presencial,6,2024-07-30,Salina Cruz
2692,Escuela Normal,tec en mecanica,humanidades,virtual,10,2024-12-19,Ixtlan
2693,Centro De Estudios,lic. en psicologia,economia,semi presencial,8,2024-02-23,juarez
2694,Instituto Tecnologico,lic. en derecho,derecho,presencial,8,2024-11-19,Tlacolula
2695,Tebacsso,ingenieria electronica,administracion,virtual,6,2024-10-13,Tlacolula
2696,Instituto Superior,tec. en informatica,salud,semi presencial,10,2024-11-09,Pochutla
2697,Tebacsso,tec. en electronica,tecnologia,presencial,8,2024-07-29,Xoxocotlan
2698,Conalep,ingenieria civil,economia,presencial,8,2024-12-26,Huajuapan
2699,Colegio De Bachilleres,contabilidad,administracion,virtual,10,2024-02-03,Salina Cruz
2700,Ies Oaxaca,ingenieria en sistemas computacionales,derecho,semi presencial,6,2024-12-17,oaxaca capital
2701,Ies Oaxaca,lic. en economia,artes,presencial,6,2024-02-26,Tlacolula
2702,Uabjo,lic. en psicologia,ingenieria,presencial,6,2024-11-12,Lachixio
2703,Centro De Estudios,ingenieria en sistemas computacionales,salud,virtual,8,2024-05-12,Huajuapan
2704,Tebacsso,lic. en biologia,tecnologia,presencial,10,2024-01-14,Etla
2705,Univers. Autonoma,diseño grafico,artes,semi presencial,10,2024-07-07,Etla
2706,Tecnologica Del Valle,ingenieria electronica,salud,virtual,8,2024-12-14,juarez
2707,Ujat,contabilidad,artes,virtual,6,2024-06-16,Pochutla
2708,Instituto Superior,lic. en turismo,administracion,presencial,10,2024-11-28,Salina Cruz
2709,Tebacsso,lic. en turismo,artes,semi presencial,6,2024-06-06,juarez
2710,Tebacsso,lic. en comunicacion,humanidades,presencial,10,2024-05-21,Pochutla
2711,Univers. Autonoma,ingenieria electronica,derecho,presencial,8,2024-09-26,Huajuapan
2712,Instituto Superior,lic. en comunicacion,artes,virtual,8,2024-10-20,oaxaca capital
2713,Conalep,ingenieria civil,administracion,semi presencial,6,2024-07-12,Tlacolula
2714,Escuela Normal,lic. en comunicacion,educacion,presencial,6,2024-04-21,Lachixio
2715,Escuela Normal,tec. en informatica,artes,presencial,6,2024-08-20,Salina Cruz
2716,Univers. Autonoma,lic. en turismo,tecnologia,virtual,6,2024-05-06,Ixtlan
2717,Tebacsso,lic. en filosofia,derecho,virtual,6,2024-02-29,oaxaca capital
2718,Ujat,tec. en electronica,artes,semi presencial,8,2024-02-09,juarez
2719,Ies Oaxaca,lic. en turismo,ingenieria,semi presencial,8,2024-11-26,oaxaca capital
2720,Ujat,ingenieria electronica,derecho,semi presencial,10,2024-05-13,Huajuapan
2721,Centro De Estudios,lic. en derecho,educacion,presencial,8,2024-07-10,juarez
2722,Escuela Normal,lic. en economia,tecnologia,presencial,10,2024-01-01,Huajuapan
2723,Ies Oaxaca,lic. en filosofia,salud,semi presencial,6,2024-08-08,Etla
2724,Cecyte,lic. en biologia,administracion,semi presencial,10,2024-01-03,Huajuapan
2725,Ies Oaxaca,lic. en derecho,administracion,virtual,8,2024-10-20,Xoxocotlan
2726,Ujat,tec en mecanica,educacion,virtual,8,2024-09-26,Etla
2727,Centro De Estudios,tec en mecanica,economia,virtual,8,2024-08-26,Etla
2728,Colegio De Bachilleres,tec en mecanica,tecnologia,virtual,6,2024-06-07,oaxaca capital
2729,Instituto Superior,ingenieria civil,ingenieria,presencial,10,2024-05-09,Salina Cruz
2730,Cecyte,contabilidad,tecnologia,semi presencial,10,2024-02-25,Xoxocotlan
2731,Escuela Normal,lic. en turismo,humanidades,virtual,6,2024-08-23,Pochutla
2732,Ujat,diseño grafico,derecho,semi presencial,8,2024-05-29,Lachixio
2733,Ies Oaxaca,tec. en informatica,ingenieria,presencial,10,2024-01-11,Salina Cruz
2734,Instituto Superior,lic. en filosofia,economia,presencial,6,2024-05-14,Etla
2735,Cecyte,lic. en economia,ciencias sociales,virtual,6,2024-12-19,Huajuapan
2736,Tecnologica Del Valle,lic. en educacion,salud,semi presencial,10,2024-12-26,Ixtlan
2737,Uabjo,tec en mecanica,ingenieria,semi presencial,8,2024-02-18,Salina Cruz
2738,Tebacsso,administracion de empresas,salud,virtual,8,2024-06-02,Lachixio
2739,Ies Oaxaca,diseño grafico,ingenieria,virtual,8,2024-10-03,Huajuapan
2740,Instituto Superior,lic. en turismo,educacion,presencial,10,2024-02-04,Etla
2741,Instituto Superior,contabilidad,administracion,semi presencial,6,2024-03-14,oaxaca capital
2742,Centro De Estudios,ingenieria en sistemas computacionales,derecho,virtual,6,2024-07-15,Lachixio
2743,Cecyte,lic. en educacion,ingenieria,semi presencial,10,2024-12-29,Tlacolula
2744,Instituto Tecnologico,tec en mecanica,humanidades,presencial,8,2024-04-29,Salina Cruz
2745,Univers. Autonoma,lic. en turismo,artes,presencial,8,2024-04-18,Lachixio
2746,Tecnologica Del Valle,ingenieria en sistemas computacionales,economia,virtual,10,2024-08-21,Ixtlan
2747,Conalep,lic. en educacion,ciencias sociales,semi presencial,10,2024-12-12,Huajuapan
2748,Ies Oaxaca,lic. en biologia,humanidades,presencial,10,2024-09-10,Ixtlan
2749,Univers. Autonoma,lic en enfermeria,economia,presencial,10,2024-05-15,oaxaca capital
2750,Uabjo,lic. en psicologia,salud,semi presencial,6,2024-10-20,Etla
2751,Escuela Normal,lic. en derecho,derecho,presencial,10,2024-07-17,oaxaca capital
2752,Tecnologica Del Valle,lic. en filosofia,administracion,semi presencial,8,2024-02-22,Etla
2753,Centro De Estudios,contabilidad,artes,virtual,6,2024-12-31,Salina Cruz
2754,Escuela Normal,contabilidad,salud,virtual,8,2024-11-28,Tlacolula
2755,Uabjo,lic. en psicologia,ciencias sociales,semi presencial,10,2024-11-13,Xoxocotlan
2756,Colegio De Bachilleres,tec. en electronica,tecnologia,virtual,10,2024-08-07,Ixtlan
2757,Univers. Autonoma,ingenieria civil,ingenieria,presencial,10,2024-10-15,juarez
2758,Centro De Estudios,tec. en informatica,economia,presencial,10,2024-03-14,Ixtlan
2759,Cecyte,lic. en derecho,salud,presencial,6,2024-05-18,oaxaca capital
2760,Ies Oaxaca,ingenieria en sistemas computacionales,humanidades,presencial,6,2024-11-04,Salina Cruz
2761,Colegio De Bachilleres,lic. en biologia,economia,virtual,6,2024-10-27,oaxaca capital
2762,Instituto Tecnologico,tec. en informatica,educacion,semi presencial,8,2024-02-06,Pochutla
2763,Colegio De Bachilleres,lic. en comunicacion,salud,presencial,8,2024-01-20,juarez
