id,profesion,tasa_ocupacion,nivel_educativo,fecha_registro,municipio
1341,auditor,80.9,secundaria,2024-06-27,Etla
1342,economista,63.2,tecnico,2024-08-16,Ixtlan
1343,técnico en telecomunicaciones,73.9,doctorado,2024-06-13,Macuiltianguis
1344,programador,58.0,primaria,2024-05-15,Xoxocotlan
1345,técnico de mantenimiento,55.9,tecnico,2024-08-28,Huatulco
1346,electricista,92.8,bachillerato,2024-08-03,Santa Catarina
1347,coordinador,67.4,especialidad,2024-10-11,Tututepec
1348,dentista,60.8,doctorado,2024-06-12,San Pablo Etla
1349,jardinero,63.4,tecnico,2024-06-23,Puerto Escondido
1350,abogado,42.3,tecnico,2024-08-25,Crucecita
1351,gerente,73.3,bachillerato,2024-11-11,Lachixio
1352,analista,93.7,bachillerato,2024-08-12,San Juan
1353,contador,60.7,especialidad,2024-10-12,juarez
1354,profesor,58.1,bachillerato,2024-03-19,Santa Catarina
1355,profesor,60.4,doctorado,2024-08-19,Macuiltianguis
1356,consultor,94.3,primaria,2024-08-01,Santiago
1357,representante comercial,83.1,doctorado,2024-11-20,Tututepec
1358,enfermero,60.5,tecnico,2024-02-09,Lachixio
1359,conductor,54.6,maestria,2024-07-09,Pochutla
1360,contador,68.4,lic.incompleta,2024-01-16,Huatulco
1361,docente,51.5,secundaria,2024-02-10,Macuiltianguis
1362,camarero,89.7,especialidad,2024-03-25,Pochutla
1363,profesor,54.6,bachillerato,2024-01-16,Salina Cruz
1364,soldador,43.9,primaria,2024-08-18,Santiago
1365,técnico en telecomunicaciones,45.5,especialidad,2024-05-12,Ocotlan
1366,técnico de mantenimiento,78.3,doctorado,2024-01-25,Salina Cruz
1367,soldador,82.8,tecnico,2024-11-09,Santiago
1368,soldador,56.8,licenciatura completa,2024-12-19,Etla
1369,técnico en telecomunicaciones,84.6,doctorado,2024-01-04,Macuiltianguis
1370,capacitador,67.4,prof.univ.,2024-09-25,San Juan
1371,contador,42.1,secundaria,2024-04-18,Salina Cruz
1372,mecanico,60.3,maestria,2024-04-02,Lachixio
1373,chef,86.3,bachillerato,2024-10-05,Etla
1374,técnico de mantenimiento,44.9,bachillerato,2024-04-06,juarez
1375,ejecutivo de ventas,52.2,maestria,2024-11-30,Pochutla
1376,arquitecto,57.2,primaria,2024-10-19,Xoxocotlan
1377,supervisor,73.0,secundaria,2024-07-10,San Pablo Etla
1378,plomero,73.4,bachillerato,2024-12-06,Pochutla
1379,técnico en electrónica,93.9,maestria,2024-10-31,Lachixio
1380,auditor,48.6,primaria,2024-07-05,Ocotlan
1381,técnico en electrónica,74.4,prof.univ.,2024-01-14,Etla
1382,jardinero,41.5,licenciatura completa,2024-06-13,Xoxocotlan
1383,abogado,44.0,maestria,2024-05-20,Huatulco
1384,académico,79.8,secundaria,2024-10-10,Tlacolula
1385,jardinero,69.8,especialidad,2024-01-27,juarez
1386,plomero,53.0,maestria,2024-11-27,Lachixio
1387,técnico en electrónica,82.5,primaria,2024-05-28,San Juan
1388,economista,70.7,doctorado,2024-05-05,Etla
1389,capacitador,83.4,lic.incompleta,2024-03-09,Lachixio
1390,psicólogo,60.1,lic.incompleta,2024-10-15,oaxaca capital
1391,técnico en electrónica,49.4,secundaria,2024-12-02,Santiago
1392,ingeniero de sistemas,52.0,especialidad,2024-02-02,Salina Cruz
1393,electricista,85.3,primaria,2024-11-15,Macuiltianguis
1394,psicólogo,41.6,maestria,2024-12-17,Huajuapan
1395,enfermero,51.9,lic.incompleta,2024-11-20,Salina Cruz
1396,carpintero,85.4,bachillerato,2024-12-07,Macuiltianguis
1397,supervisor,89.4,bachillerato,2024-12-29,Salina Cruz
1398,programador,76.3,maestria,2024-08-22,Ocotlan
1399,docente,52.6,primaria,2024-01-01,Ixtlan
1400,asistente administrativo,59.7,especialidad,2024-05-26,Salina Cruz
1401,chef,90.1,tecnico,2024-07-27,Santiago
1402,ingeniero de sistemas,47.2,licenciatura completa,2024-11-25,Santiago
1403,profesor,59.8,secundaria,2024-09-16,juarez
1404,soldador,67.1,doctorado,2024-12-21,Santiago
1405,coordinador,46.2,especialidad,2024-06-11,Huajuapan
1406,plomero,70.4,especialidad,2024-11-21,juarez
1407,técnico en telecomunicaciones,61.5,tecnico,2024-08-25,San Pablo Etla
1408,asistente administrativo,56.8,primaria,2024-12-31,Xoxocotlan
1409,psicólogo,78.7,prof.univ.,2024-04-23,Xoxocotlan
1410,economista,83.6,secundaria,2024-09-14,Huajuapan
1411,cocinero,63.5,bachillerato,2024-10-14,Santa Catarina
1412,enfermero,66.4,especialidad,2024-09-29,Tututepec
1413,arquitecto,49.4,primaria,2024-06-24,San Juan
1414,ejecutivo de ventas,42.7,licenciatura completa,2024-09-04,Tututepec
1415,pintor,87.1,prof.univ.,2024-03-09,Ocotlan
1416,analista,57.0,primaria,2024-06-18,Crucecita
1417,enfermero,42.1,especialidad,2024-06-16,Pochutla
1418,técnico en electrónica,66.6,tecnico,2024-05-20,Santiago
1419,supervisor,62.8,maestria,2024-01-07,Ocotlan
1420,técnico en telecomunicaciones,50.7,licenciatura completa,2024-09-21,Ixtlan
1421,programador,61.7,maestria,2024-09-02,Ocotlan
1422,coordinador,74.4,tecnico,2024-10-23,Etla
1423,abogado,67.9,lic.incompleta,2024-07-07,Xoxocotlan
1424,soldador,94.1,secundaria,2024-03-31,Santa Catarina
1425,abogado,65.9,maestria,2024-09-01,Santa Catarina
1426,maestro de obra,57.6,especialidad,2024-09-03,Lachixio
1427,chef,51.1,bachillerato,2024-10-21,juarez
1428,contador,42.6,bachillerato,2024-08-16,Xoxocotlan
1429,maestro de obra,49.6,bachillerato,2024-04-07,Pochutla
1430,capacitador,58.1,lic.incompleta,2024-09-11,Salina Cruz
1431,técnico de mantenimiento,81.6,primaria,2024-12-22,Lachixio
1432,supervisor,62.1,maestria,2024-03-05,San Juan
1433,capacitador,77.9,lic.incompleta,2024-10-27,Huatulco
1434,asistente administrativo,79.1,prof.univ.,2024-01-10,Xoxocotlan
1435,electricista,58.4,especialidad,2024-04-26,Xoxocotlan
1436,investigador,93.9,secundaria,2024-10-30,Lachixio
1437,mecanico,82.5,tecnico,2024-01-25,Santiago
1438,profesor,87.0,bachillerato,2024-02-24,Salina Cruz
1439,supervisor,51.7,licenciatura completa,2024-01-04,Tututepec
1440,ingeniero de sistemas,41.6,lic.incompleta,2024-04-02,Pochutla
1441,contador,69.0,bachillerato,2024-01-30,juarez
1442,capacitador,41.2,primaria,2024-07-01,Etla
1443,ejecutivo de ventas,84.4,prof.univ.,2024-08-31,Macuiltianguis
1444,supervisor,63.9,licenciatura completa,2024-12-19,Xoxocotlan
1445,gerente,50.9,tecnico,2024-06-03,Lachixio
1446,economista,66.1,doctorado,2024-06-26,Macuiltianguis
1447,analista,75.9,bachillerato,2024-08-16,Pochutla
1448,carpintero,92.6,secundaria,2024-09-14,Santiago
1449,contador,82.1,bachillerato,2024-12-15,Ixtlan
1450,guardia de seguridad,75.8,maestria,2024-05-13,Huatulco
1451,técnico en electrónica,71.5,licenciatura completa,2024-10-01,Santiago
1452,docente,68.9,secundaria,2024-08-31,Macuiltianguis
1453,camarero,81.0,tecnico,2024-05-13,San Pablo Etla
1454,docente,41.6,lic.incompleta,2024-08-14,Xoxocotlan
1455,analista,51.9,especialidad,2024-11-27,Puerto Escondido
1456,diseñador grafico,52.7,especialidad,2024-12-03,Etla
1457,economista,74.3,licenciatura completa,2024-01-06,juarez
1458,camarero,85.0,bachillerato,2024-11-11,Crucecita
1459,conductor,80.0,primaria,2024-04-05,juarez
1460,cocinero,87.1,bachillerato,2024-01-17,Tututepec
1461,cocinero,71.8,doctorado,2024-06-12,Tututepec
1462,plomero,51.0,prof.univ.,2024-02-15,Tututepec
1463,cocinero,89.8,primaria,2024-08-29,juarez
1464,maestro de obra,68.6,primaria,2024-08-15,Puerto Escondido
1465,académico,59.7,doctorado,2024-08-01,Pochutla
1466,analista,86.7,doctorado,2024-11-06,Tututepec
1467,ejecutivo de ventas,68.1,bachillerato,2024-01-25,Salina Cruz
1468,economista,48.9,especialidad,2024-03-08,San Pablo Etla
1469,consultor,69.7,lic.incompleta,2024-10-02,juarez
1470,vendedor,71.1,tecnico,2024-12-18,Huatulco
1471,cocinero,62.8,tecnico,2024-07-08,Crucecita
1472,gerente,66.8,especialidad,2024-11-07,Pochutla
1473,dentista,81.0,bachillerato,2024-04-18,Tututepec
1474,conductor,77.7,licenciatura completa,2024-05-21,Pochutla
1475,economista,89.4,primaria,2024-10-16,Ocotlan
1476,psicólogo,92.4,maestria,2024-06-16,Tututepec
1477,ejecutivo de ventas,70.8,maestria,2024-04-12,Macuiltianguis
1478,coordinador,40.4,lic.incompleta,2024-03-05,juarez
1479,académico,90.6,primaria,2024-04-21,Pochutla
1480,carpintero,85.7,doctorado,2024-03-01,juarez
1481,cocinero,82.7,licenciatura completa,2024-12-16,oaxaca capital
1482,psicólogo,70.8,lic.incompleta,2024-11-29,Lachixio
1483,ejecutivo de ventas,47.7,doctorado,2024-02-19,Tlacolula
1484,carpintero,62.9,especialidad,2024-06-02,Ocotlan
1485,académico,87.3,doctorado,2024-12-04,Crucecita
1486,académico,90.9,licenciatura completa,2024-01-10,San Juan
1487,pintor,45.6,doctorado,2024-05-15,Ocotlan
1488,auditor,72.7,secundaria,2024-08-15,Xoxocotlan
1489,jardinero,66.6,bachillerato,2024-12-07,Huajuapan
1490,capacitador,73.0,bachillerato,2024-11-26,Santiago
1491,contador,79.6,maestria,2024-01-13,Huatulco
1492,pintor,69.9,maestria,2024-05-17,Santiago
1493,soldador,76.2,lic.incompleta,2024-07-30,Macuiltianguis
1494,pintor,72.8,bachillerato,2024-07-22,San Pablo Etla
1495,docente,89.2,tecnico,2024-07-11,juarez
1496,diseñador grafico,88.1,maestria,2024-01-15,Santiago
1497,ingeniero de sistemas,59.7,doctorado,2024-12-22,Salina Cruz
1498,pintor,87.0,licenciatura completa,2024-09-04,oaxaca capital
1499,técnico en telecomunicaciones,82.9,secundaria,2024-12-12,Crucecita
1500,cocinero,77.7,doctorado,2024-10-31,Etla
1501,ingeniero de sistemas,50.5,especialidad,2024-07-14,Huatulco
1502,investigador,74.0,licenciatura completa,2024-01-21,Ixtlan
1503,técnico en electrónica,93.7,maestria,2024-05-04,Pochutla
1504,abogado,91.0,bachillerato,2024-10-09,Huajuapan
1505,cocinero,88.7,primaria,2024-11-19,Santiago
1506,electricista,79.0,maestria,2024-01-12,Huajuapan
1507,electricista,85.6,bachillerato,2024-12-30,Tututepec
1508,conductor,79.1,maestria,2024-08-06,Crucecita
1509,transportista,75.6,lic.incompleta,2024-03-19,Huajuapan
1510,chef,67.9,prof.univ.,2024-05-04,San Pablo Etla
1511,profesor,44.3,bachillerato,2024-05-16,oaxaca capital
1512,analista,47.6,licenciatura completa,2024-03-02,Ocotlan
1513,abogado,79.5,licenciatura completa,2024-07-16,Tlacolula
1514,docente,83.1,tecnico,2024-09-02,Pochutla
1515,auditor,93.5,tecnico,2024-01-04,Huajuapan
1516,docente,48.0,primaria,2024-12-18,Xoxocotlan
1517,técnico de mantenimiento,83.3,lic.incompleta,2024-05-09,Xoxocotlan
1518,abogado,65.8,lic.incompleta,2024-07-29,Huatulco
1519,coordinador,40.5,secundaria,2024-03-13,Puerto Escondido
1520,economista,46.2,doctorado,2024-05-30,Ocotlan
1521,mecanico,82.1,tecnico,2024-12-30,Santa Catarina
1522,transportista,92.4,lic.incompleta,2024-06-14,Huajuapan
1523,asistente administrativo,59.8,primaria,2024-11-01,Santa Catarina
1524,técnico en telecomunicaciones,70.0,lic.incompleta,2024-08-05,Ocotlan
1525,economista,84.3,especialidad,2024-09-23,Salina Cruz
1526,dentista,74.8,prof.univ.,2024-07-13,Crucecita
1527,docente,64.8,lic.incompleta,2024-12-19,Santa Catarina
1528,asistente administrativo,86.6,doctorado,2024-10-17,oaxaca capital
1529,maestro de obra,44.8,tecnico,2024-11-29,Tututepec
1530,auditor,74.5,tecnico,2024-12-05,Tututepec
1531,enfermero,48.9,licenciatura completa,2024-12-02,Puerto Escondido
1532,profesor,81.1,secundaria,2024-10-23,Santa Catarina
1533,mecanico,72.2,licenciatura completa,2024-05-18,Xoxocotlan
1534,camarero,88.7,lic.incompleta,2024-06-03,Salina Cruz
1535,abogado,46.9,primaria,2024-03-06,Huatulco
1536,guardia de seguridad,89.1,tecnico,2024-06-17,Lachixio
1537,diseñador grafico,80.9,doctorado,2024-06-04,Etla
1538,técnico en electrónica,80.7,especialidad,2024-01-20,San Juan
1539,técnico de mantenimiento,77.6,secundaria,2024-09-02,Pochutla
1540,contador,81.7,especialidad,2024-02-04,oaxaca capital
1541,investigador,82.8,maestria,2024-01-13,Huajuapan
1542,mecanico,91.6,bachillerato,2024-09-21,Huatulco
1543,arquitecto,64.1,lic.incompleta,2024-08-05,Tlacolula
1544,contador,88.0,especialidad,2024-12-03,Tlacolula
1545,técnico en telecomunicaciones,88.1,primaria,2024-11-12,juarez
1546,economista,63.6,licenciatura completa,2024-07-29,Salina Cruz
1547,soldador,60.8,bachillerato,2024-10-26,Ocotlan
1548,auditor,55.4,tecnico,2024-03-14,Lachixio
1549,docente,51.5,especialidad,2024-09-27,Crucecita
1550,gerente,71.1,maestria,2024-05-01,Puerto Escondido
1551,capacitador,51.2,doctorado,2024-05-25,Etla
1552,auditor,81.6,maestria,2024-03-29,Huatulco
1553,técnico de mantenimiento,44.5,prof.univ.,2024-02-06,Huajuapan
1554,dentista,71.0,prof.univ.,2024-06-13,San Juan
1555,chef,93.3,doctorado,2024-06-04,Huatulco
1556,vendedor,83.4,secundaria,2024-06-20,Puerto Escondido
1557,psicólogo,58.9,secundaria,2024-05-07,Lachixio
1558,capacitador,92.6,especialidad,2024-04-30,Santiago
1559,ejecutivo de ventas,84.7,tecnico,2024-03-29,Etla
1560,carpintero,69.7,maestria,2024-04-02,Ocotlan
1561,cocinero,93.3,doctorado,2024-07-19,Santiago
1562,carpintero,74.6,prof.univ.,2024-01-21,Macuiltianguis
1563,guardia de seguridad,50.2,licenciatura completa,2024-05-19,Salina Cruz
1564,carpintero,79.4,especialidad,2024-05-27,Huatulco
1565,auditor,65.6,secundaria,2024-01-18,Tlacolula
1566,dentista,84.3,licenciatura completa,2024-12-30,San Pablo Etla
1567,técnico en telecomunicaciones,79.6,secundaria,2024-08-28,Puerto Escondido
1568,pintor,48.8,licenciatura completa,2024-04-20,Puerto Escondido
1569,arquitecto,62.8,maestria,2024-04-09,Etla
1570,camarero,71.6,secundaria,2024-08-18,Etla
1571,académico,52.1,prof.univ.,2024-11-03,Santiago
1572,profesor,45.1,especialidad,2024-09-08,San Juan
1573,enfermero,76.1,lic.incompleta,2024-01-23,Ocotlan
1574,gerente,84.9,lic.incompleta,2024-09-07,Ocotlan
1575,tec. en electricidad,47.5,maestria,2024-05-28,Huajuapan
1576,pintor,52.3,tecnico,2024-06-14,San Pablo Etla
1577,enfermero,68.5,especialidad,2024-02-07,Macuiltianguis
1578,consultor,41.7,lic.incompleta,2024-09-30,Crucecita
1579,investigador,69.9,bachillerato,2024-04-02,San Juan
1580,pintor,92.1,primaria,2024-03-20,oaxaca capital
1581,maestro de obra,47.9,doctorado,2024-09-04,oaxaca capital
1582,programador,51.0,prof.univ.,2024-04-21,Santa Catarina
1583,conductor,48.1,prof.univ.,2024-11-16,San Juan
1584,jardinero,89.2,lic.incompleta,2024-06-17,Ocotlan
1585,representante comercial,72.4,licenciatura completa,2024-05-31,Santa Catarina
1586,académico,54.5,maestria,2024-05-31,Etla
1587,tec. en electricidad,84.3,especialidad,2024-05-14,Santa Catarina
1588,camarero,63.9,primaria,2024-08-21,oaxaca capital
1589,psicólogo,64.1,bachillerato,2024-08-25,Macuiltianguis
1590,soldador,72.8,maestria,2024-04-26,Pochutla
1591,diseñador grafico,45.3,licenciatura completa,2024-10-24,Tututepec
1592,programador,52.0,lic.incompleta,2024-11-17,Lachixio
1593,ingeniero de sistemas,83.6,doctorado,2024-03-24,Tututepec
1594,economista,65.7,tecnico,2024-12-16,Macuiltianguis
1595,mecanico,67.7,tecnico,2024-05-30,Huajuapan
1596,técnico en telecomunicaciones,52.2,maestria,2024-01-19,Crucecita
1597,maestro de obra,76.4,doctorado,2024-02-01,Ixtlan
1598,ejecutivo de ventas,68.2,tecnico,2024-08-04,Xoxocotlan
1599,diseñador grafico,92.9,prof.univ.,2024-10-13,oaxaca capital
1600,analista,80.1,tecnico,2024-02-20,Crucecita
1601,gerente,51.2,licenciatura completa,2024-08-04,Santiago
1602,camarero,63.7,secundaria,2024-08-09,San Pablo Etla
1603,abogado,54.6,especialidad,2024-06-19,oaxaca capital
1604,auditor,91.3,doctorado,2024-01-04,Pochutla
1605,carpintero,83.8,licenciatura completa,2024-04-26,oaxaca capital
1606,economista,57.7,primaria,2024-09-11,Pochutla
1607,tec. en electricidad,52.1,especialidad,2024-07-30,San Juan
1608,profesor,74.2,maestria,2024-10-09,Tututepec
1609,jardinero,66.1,bachillerato,2024-01-22,oaxaca capital
1610,técnico en telecomunicaciones,73.6,especialidad,2024-04-29,Santa Catarina
1611,cocinero,67.9,bachillerato,2024-04-07,Macuiltianguis
1612,contador,70.4,especialidad,2024-04-14,Puerto Escondido
1613,abogado,67.0,especialidad,2024-10-31,Puerto Escondido
1614,camarero,61.4,lic.incompleta,2024-11-15,Macuiltianguis
1615,docente,91.5,doctorado,2024-01-18,Huajuapan
1616,asistente administrativo,72.8,primaria,2024-06-06,Tlacolula
1617,electricista,50.9,primaria,2024-08-13,Tlacolula
1618,representante comercial,78.3,tecnico,2024-10-04,Puerto Escondido
1619,economista,89.2,secundaria,2024-09-02,Salina Cruz
1620,asistente administrativo,89.4,doctorado,2024-01-01,Salina Cruz
1621,plomero,59.9,doctorado,2024-10-30,Ixtlan
1622,profesor,79.8,especialidad,2024-11-28,Salina Cruz
1623,representante comercial,91.3,bachillerato,2024-10-26,oaxaca capital
1624,supervisor,49.6,lic.incompleta,2024-04-26,San Juan
1625,consultor,45.9,prof.univ.,2024-12-19,Huajuapan
1626,maestro de obra,52.6,primaria,2024-01-09,Huatulco
1627,plomero,77.8,especialidad,2024-04-28,Macuiltianguis
1628,asistente administrativo,68.4,licenciatura completa,2024-01-02,Pochutla
1629,técnico en electrónica,69.4,primaria,2024-01-10,Xoxocotlan
1630,economista,72.5,primaria,2024-10-09,Macuiltianguis
1631,chef,47.3,tecnico,2024-04-20,oaxaca capital
1632,técnico de mantenimiento,82.3,secundaria,2024-09-21,juarez
1633,asistente administrativo,62.2,secundaria,2024-03-14,Ocotlan
1634,arquitecto,46.3,lic.incompleta,2024-01-14,Salina Cruz
1635,coordinador,65.7,prof.univ.,2024-01-26,Huajuapan
1636,gerente,84.0,secundaria,2024-04-20,Crucecita
1637,docente,56.0,especialidad,2024-12-28,Huatulco
1638,profesor,48.4,prof.univ.,2024-09-28,Huajuapan
1639,técnico en electrónica,94.3,doctorado,2024-05-18,Pochutla
1640,contador,47.1,doctorado,2024-11-17,juarez
1641,camarero,79.9,secundaria,2024-03-07,juarez
1642,transportista,91.0,primaria,2024-07-02,Macuiltianguis
1643,pintor,78.4,tecnico,2024-11-06,Ocotlan
1644,contador,93.5,primaria,2024-10-27,Salina Cruz
1645,electricista,51.4,primaria,2024-12-08,Crucecita
1646,soldador,91.7,primaria,2024-02-01,San Juan
1647,profesor,55.9,especialidad,2024-08-03,oaxaca capital
1648,abogado,75.7,maestria,2024-02-25,Tututepec
1649,técnico de mantenimiento,51.3,especialidad,2024-10-13,Xoxocotlan
1650,psicólogo,43.9,primaria,2024-05-11,Crucecita
1651,carpintero,45.7,licenciatura completa,2024-06-14,Puerto Escondido
1652,tec. en electricidad,93.5,bachillerato,2024-03-10,Huatulco
1653,auditor,87.1,prof.univ.,2024-12-12,Macuiltianguis
1654,guardia de seguridad,91.4,bachillerato,2024-07-03,Ocotlan
1655,plomero,71.6,doctorado,2024-09-10,Santa Catarina
1656,economista,58.9,maestria,2024-07-22,Salina Cruz
1657,transportista,86.5,prof.univ.,2024-06-20,oaxaca capital
1658,maestro de obra,93.5,secundaria,2024-05-23,San Pablo Etla
1659,auditor,80.7,primaria,2024-09-30,Tututepec
1660,enfermero,76.8,especialidad,2024-05-22,Tututepec
1661,auditor,49.7,maestria,2024-02-28,Huatulco
1662,ingeniero de sistemas,94.1,primaria,2024-11-27,Lachixio
1663,investigador,84.1,primaria,2024-04-28,Tututepec
1664,académico,90.5,bachillerato,2024-04-14,Huajuapan
1665,camarero,42.3,secundaria,2024-10-23,San Juan
1666,analista,57.0,lic.incompleta,2024-01-01,Huatulco
1667,dentista,85.6,prof.univ.,2024-07-28,Lachixio
1668,técnico de mantenimiento,41.8,doctorado,2024-07-04,San Juan
1669,contador,89.6,especialidad,2024-01-05,Salina Cruz
1670,ejecutivo de ventas,79.1,bachillerato,2024-06-01,Xoxocotlan
1671,economista,76.1,doctorado,2024-02-12,Santa Catarina
1672,gerente,92.9,prof.univ.,2024-06-19,Xoxocotlan
1673,contador,60.7,maestria,2024-05-02,Crucecita
1674,arquitecto,81.4,secundaria,2024-07-15,Etla
1675,abogado,57.9,primaria,2024-12-15,San Juan
1676,camarero,59.2,licenciatura completa,2024-03-19,Crucecita
1677,contador,67.0,bachillerato,2024-04-20,Pochutla
1678,contador,79.7,prof.univ.,2024-06-12,San Pablo Etla
1679,ejecutivo de ventas,50.3,secundaria,2024-12-21,Puerto Escondido
1680,camarero,94.5,prof.univ.,2024-11-17,Tututepec
1681,gerente,51.1,lic.incompleta,2024-09-17,San Pablo Etla
1682,mecanico,60.7,primaria,2024-08-05,Ocotlan
1683,chef,85.2,primaria,2024-08-22,Ixtlan
1684,tec. en electricidad,86.1,tecnico,2024-02-28,juarez
1685,maestro de obra,55.2,maestria,2024-10-21,Macuiltianguis
1686,jardinero,91.1,doctorado,2024-08-18,juarez
1687,tec. en electricidad,42.5,maestria,2024-10-12,Etla
1688,enfermero,73.4,tecnico,2024-12-26,Huatulco
1689,chef,93.4,secundaria,2024-11-06,Ixtlan
1690,guardia de seguridad,51.6,prof.univ.,2024-07-13,Etla
1691,enfermero,53.4,secundaria,2024-04-03,Salina Cruz
1692,contador,68.7,especialidad,2024-08-05,Tlacolula
1693,economista,74.5,especialidad,2024-05-17,Puerto Escondido
1694,contador,81.7,especialidad,2024-02-09,Tututepec
1695,conductor,49.7,bachillerato,2024-12-27,Puerto Escondido
1696,camarero,88.5,lic.incompleta,2024-11-07,Crucecita
1697,gerente,92.1,bachillerato,2024-09-22,Tlacolula
1698,analista,51.1,prof.univ.,2024-08-26,Ocotlan
1699,cocinero,63.2,primaria,2024-10-31,Santiago
1700,académico,73.5,tecnico,2024-03-03,Salina Cruz
1701,camarero,53.2,licenciatura completa,2024-11-01,Macuiltianguis
1702,dentista,60.2,prof.univ.,2024-06-19,Puerto Escondido
1703,consultor,48.2,doctorado,2024-07-11,oaxaca capital
1704,programador,54.9,lic.incompleta,2024-07-13,Salina Cruz
1705,cocinero,44.7,lic.incompleta,2024-12-18,Etla
1706,académico,71.9,licenciatura completa,2024-08-05,San Juan
1707,contador,66.7,tecnico,2024-07-17,juarez
1708,chef,40.7,maestria,2024-06-05,oaxaca capital
1709,técnico en telecomunicaciones,91.4,doctorado,2024-06-28,Crucecita
1710,ingeniero de sistemas,44.7,primaria,2024-12-19,Puerto Escondido
1711,asistente administrativo,72.3,licenciatura completa,2024-04-13,San Pablo Etla
1712,docente,92.8,licenciatura completa,2024-11-30,San Juan
1713,investigador,53.3,primaria,2024-03-31,Santa Catarina
1714,ejecutivo de ventas,86.8,lic.incompleta,2024-09-01,San Juan
1715,programador,71.8,lic.incompleta,2024-07-10,Tututepec
1716,capacitador,83.0,bachillerato,2024-05-08,Xoxocotlan
1717,docente,77.6,licenciatura completa,2024-07-03,Huatulco
1718,camarero,84.2,doctorado,2024-12-01,Crucecita
1719,maestro de obra,65.6,licenciatura completa,2024-09-17,Huatulco
1720,ejecutivo de ventas,84.0,primaria,2024-09-26,Etla
1721,técnico en telecomunicaciones,81.8,doctorado,2024-04-28,Etla
1722,auditor,74.9,secundaria,2024-08-01,Puerto Escondido
1723,mecanico,88.9,tecnico,2024-03-20,Ixtlan
1724,electricista,66.5,especialidad,2024-07-04,Pochutla
1725,camarero,50.1,lic.incompleta,2024-04-17,juarez
1726,capacitador,93.7,tecnico,2024-11-25,San Juan
1727,enfermero,43.2,lic.incompleta,2024-07-23,Macuiltianguis
1728,docente,76.7,licenciatura completa,2024-04-29,Crucecita
1729,carpintero,40.3,tecnico,2024-07-22,San Pablo Etla
1730,académico,64.5,lic.incompleta,2024-01-20,Crucecita
1731,arquitecto,76.9,primaria,2024-01-27,San Juan
1732,carpintero,85.1,bachillerato,2024-10-04,Santa Catarina
1733,gerente,47.9,especialidad,2024-07-01,San Juan
1734,docente,92.0,licenciatura completa,2024-01-02,Salina Cruz
1735,técnico de mantenimiento,53.5,primaria,2024-10-22,San Pablo Etla
1736,transportista,87.3,especialidad,2024-04-22,Santiago
1737,contador,81.4,especialidad,2024-10-18,Santa Catarina
1738,contador,70.9,secundaria,2024-06-09,Puerto Escondido
1739,pintor,81.5,licenciatura completa,2024-12-31,Ocotlan
1740,auditor,47.2,tecnico,2024-01-02,Ixtlan
1741,profesor,90.7,bachillerato,2024-12-23,Etla
1742,jardinero,59.4,primaria,2024-07-18,Crucecita
1743,contador,61.3,lic.incompleta,2024-10-30,Puerto Escondido
1744,pintor,86.3,maestria,2024-05-20,Ixtlan
1745,abogado,46.9,maestria,2024-06-13,juarez
1746,chef,91.3,secundaria,2024-09-22,Tututepec
1747,tec. en electricidad,82.8,especialidad,2024-06-23,oaxaca capital
1748,coordinador,93.2,tecnico,2024-04-20,Macuiltianguis
1749,técnico de mantenimiento,86.8,secundaria,2024-01-18,Tututepec
1750,guardia de seguridad,41.0,secundaria,2024-11-23,oaxaca capital
1751,consultor,49.2,doctorado,2024-09-16,Ixtlan
1752,chef,40.8,bachillerato,2024-03-27,Salina Cruz
1753,arquitecto,73.6,prof.univ.,2024-07-17,Crucecita
1754,contador,59.5,tecnico,2024-06-06,San Pablo Etla
1755,ejecutivo de ventas,50.7,prof.univ.,2024-12-23,Puerto Escondido
1756,consultor,55.5,secundaria,2024-01-30,Huatulco
1757,guardia de seguridad,75.3,especialidad,2024-06-17,Salina Cruz
1758,supervisor,75.5,prof.univ.,2024-12-16,Puerto Escondido
1759,capacitador,46.5,especialidad,2024-01-05,Ixtlan
1760,coordinador,60.3,doctorado,2024-03-01,Pochutla
1761,auditor,48.3,maestria,2024-06-04,Puerto Escondido
1762,psicólogo,74.9,doctorado,2024-10-01,Santiago
1763,ingeniero de sistemas,53.9,tecnico,2024-11-02,Tlacolula
1764,guardia de seguridad,91.4,licenciatura completa,2024-12-30,Huajuapan
1765,pintor,48.3,doctorado,2024-08-21,Macuiltianguis
1766,jardinero,81.4,primaria,2024-01-10,Crucecita
1767,maestro de obra,87.8,prof.univ.,2024-02-08,Tututepec
1768,profesor,93.5,tecnico,2024-02-19,Tututepec
1769,tec. en electricidad,79.8,prof.univ.,2024-10-14,Tututepec
1770,asistente administrativo,54.5,maestria,2024-03-31,Lachixio
1771,técnico de mantenimiento,68.5,licenciatura completa,2024-01-25,Salina Cruz
1772,camarero,86.5,lic.incompleta,2024-08-27,Crucecita
1773,mecanico,50.2,tecnico,2024-06-03,San Pablo Etla
1774,técnico en telecomunicaciones,85.9,tecnico,2024-04-11,Xoxocotlan
1775,diseñador grafico,48.8,especialidad,2024-09-22,juarez
1776,cocinero,74.9,secundaria,2024-01-10,Ixtlan
1777,analista,44.8,tecnico,2024-08-16,Puerto Escondido
1778,dentista,42.2,especialidad,2024-05-25,Crucecita
